Name,ImageLink,Genres,About,Keywords
1+1,https://avatars.mds.yandex.net/get-kinopoisk-image/10900341/caf9f155-1a19-42f1-a0f3-9c8773e9083e/300x450,"драма, комедия","Пострадав в результате несчастного случая, богатый аристократ Филипп нанимает в помощники человека, который менее всего подходит для этой работы, – молодого жителя предместья Дрисса, только что освободившегося из тюрьмы. Несмотря на то, что Филипп прикован к инвалидному креслу, Дриссу удается привнести в размеренную жизнь аристократа дух приключений.","2010-е, Абстрактная живопись, Богатые и бедные, Ванна, Вечеринка в честь дня рождения, Инвалид, Инвалидность, Интеллектуал, Классическая музыка, Классовые различия, Купание, Межрасовая дружба, Молодой, Мужская дружба, Написание письма, Особняк, Паралич, Парапланеризм, Париж, Франция, Повествование флешбэками, Повторяющаяся сцена, Подмигивание, Сиделка, Собеседование при приеме на работу, Сцена перед вступительными титрами, Тетраплегик, Франция, Чернокожий мужчина, Эпилог"
Интерстеллар,https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/430042eb-ee69-4818-aed0-a312400a26bf/300x450,"фантастика, драма, приключения","Когда засуха, пыльные бури и вымирание растений приводят человечество к продовольственному кризису, коллектив исследователей и учёных отправляется сквозь червоточину (которая предположительно соединяет области пространства-времени через большое расстояние) в путешествие, чтобы превзойти прежние ограничения для космических путешествий человека и найти планету с подходящими для человечества условиями.","Азбука Морзе, Блокбастер, Временной парадокс, Гигантская волна, Голод, Гонка со временем, Гравитация, Действие в будущем, Другое измерение, Книжный шкаф, Космическая станция, Космический корабль, Космический шаттл, Космическое путешествие, Космонавт, Кукурузное поле, Любовь, НАСА, Название, сказанное персонажем, Невесомость, Нет титров в начале фильма, Освоение космоса, Отец-одиночка, Открытый космос, Отношения отца и дочери, Песчаная буря, Пикап, Планета, Предательство, Приливная волна, Путешествие во времени, Пыль, Робот, Родитель-одиночка, Самопожертвование, Семейные отношения, Спасение мира, Сфера Шварцшильда, Теория относительности, Ученый, Фермер, Физик, Футуристический, Червоточина, Черная дыра"
Побег из Шоушенка,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/0b76b2a2-d1c7-4f04-a284-80ff7bb709a4/300x450,драма,"Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк, он сталкивается с жестокостью и беззаконием, царящими по обе стороны решётки. Каждый, кто попадает в эти стены, становится их рабом до конца жизни. Но Энди, обладающий живым умом и доброй душой, находит подход как к заключённым, так и к охранникам, добиваясь их особого к себе расположения.","1940-е, 1950-е, Виниловая пластинка, Вырезание, Граммофон, Закадровый голос, Зверство, Искупление вины, Испытание, Комиссия по условно-досрочному освобождению, Личинка, Мужская дружба, Мужская нагота, Неверная жена, Неверность, Неожиданный сюжетный поворот, Неожиданный финал, Неправомерное осуждение, Одиночное заключение, Озвучивание текста письма, По мотивам книги Стивена Кинга, По мотивам новеллы, Побег из тюрьмы, Повествование от первого лица, Пожизненное заключение, Полицейская жестокость, Просмотр фильма, Разговаривающий с птицей, Самоубийство, Самоубийство злодея, Самоубийство через повешение, Сексуальное преступление, Сиуатанехо, Мексика, Слушание о досрочном освобождении, Туннель для побега, Тюремная библиотека, Тюремный двор, Тюремный охранник, Тюрьма, Убийство жены, Упоминание Риты Хэйворт"
Остров проклятых,https://avatars.mds.yandex.net/get-kinopoisk-image/4303601/617303b7-cfa7-4273-bd1d-63974bf68927/300x450,"триллер, детектив, драма","Два американских судебных пристава отправляются на один из островов в штате Массачусетс, чтобы расследовать исчезновение пациентки клиники для умалишенных преступников. При проведении расследования им придется столкнуться с паутиной лжи, обрушившимся ураганом и смертельным бунтом обитателей клиники.","1940-е, 1945 год, 1950-е, 1952 год, 1954 год, Агент ФБР, Алкоголик, Американец, Анаграмма, Безумие, Бой, Больница, Больница для душевнобольных, Больничная палата, Бостон, Массачусетс, Бостонский акцент, Бред, Брызги крови, Бутылка, В стиле фильмов Хичкока, Вдова, Вдовец, Ветер, Ветеран Второй мировой войны, Ветеран армии, Ветеран войны, Взрыв, Взрывающаяся машина, Винтовая лестница, Винтовка, Внутренний демон, Военная травма, Воображение, Врач, Вторая мировая война, Выдающий себя за другое лицо, Вымышленный эпизод, Вырубить прикладом, Высокомерие, Выстрел в грудь, Выстрел в лицо, Выстрел в спину, Выстрел из пистолета, Вытесненные воспоминания, Гавань, Галлюцинация, Галлюциноген, Галстук, Герметичность, Говорящий с мертвыми, Горящий дом, Готика, Граммофон, Гробница, Двусмысленный финал, Двухъярусная кровать, Девочка, Дезинтеграция, Держать на прицеле, Детектив, Детоубийство, Джип, Дождь, Док, Дом сумасшедших, Дом у озера, Допрос, Душ, Женоубийство, Женщина - серийный убийца, Женщина-психопат, Женщина-убийца, Жестокость, Заблуждение, Забор, Заговор, Зажжение спички, Зажигание сигареты, Замедленная сцена, Заместитель федерального маршала, Записка, Записная книжка, Застреленный, Затопление здания, Значок, Игра в догонялки, Игра на запоминание, Играть роль, Игрушечное оружие, Игрушечный водяной пистолет, Избиение, Изменение личности, Иллюзия, Интервью, Инъекция, Истерия, Исчезновение, Казнь, Камера пыток, Капитан, Кладбище, Клетка, Колючая проволока, Колющий удар в руку, Комплекс вины, Концентрационный лагерь, Корабль, Кошмарные сцены, Крепость, Крепость на острове, Кричащая женщина, Кровавое лицо, Кровь, Крыса, Культовый фильм, Курение сигарет, Курение сигары, Курение трубки, Лагерь смерти, Лекарство, Лес, Ливень с ураганом, Лицевые травмы, Лицо со шрамом, Личная вендетта, Лобковые волосы, Лоботомия, Лодка, Ложь, Мавзолей, Магнитофон, Маниакальная депрессия, Маньяк-убийца, Массовое убийство, Маяк, Медицинский эксперимент, Медсестра, медбрат, Мертвая женщина, Мертвые дети, Мертвый ребёнок, Мертвый человек, Местоположение в оригинальном названии, Месть, Мигрень, Мокрая одежда, Молния, Море, Морская болезнь, Мужская нагота, Мужская нагота (вид спереди), Мужские лобковые волосы, Мягкая фетровая шляпа, Мёртвая девочка, Мёртвое тело, Название, сказанное персонажем, Нападение, Наручники, Находящийся в заблуждении, Нацист, Нацистский концентрационный лагерь, Немецкая речь, Немецкий доктор, Немецкий солдат, Ненастоящая личность, Неожиданный сюжетный поворот, Неожиданный финал, Неонуар, Неопределённость, Нет титров в начале фильма, Нисходящая спираль, Обернутый в полотенце, Облава, Обман, Обрыв, Огнестрельное оружие, Огонь, Огромные волны, Окровавленное тело ребенка, Операция на головном мозге, Оригинальное название из двух слов, Оскорбление на расовой почве, Особо опасный сумасшедший, Остров, Отверстие в груди, Отвлекающий манёвр, Отключение электроэнергии, Отношения коллег, Отношения мужа и жены, Отчаяние, Охрана, Память, Паранойя, Паром, Пациент с психиатрическим заболеванием, Пепел, Перерезание телефонной линии, Персонаж признаётся в любви, Пещера, Пироманьяк, Пистолет, Плач, Плачущая женщина, По мотивам романа, Побег из тюрьмы, Подвал, Поджигание, Поджигатель, Поджог, Подожжённая машина, Подозреваемый нацист, Подозрение, Покрывательство, Покрытый кровью, Полицейский напарник, Полное отключение электроэнергии, Полностью обнаженный мужчина, Порт, Постмодерн, Поцелуй, Преследование пешком, Прилив, Принимающий душ, Принятие таблеток, Пристанище, Продолжительный крик «нет», Промывка мозгов, Пропавший человек, Прослушивание музыки, Пруд, Психиатр, Психиатрическая лечебница, Психически больной, Психическое заболевание, Психоз, Психолог, Психологическая травма, Психологический, Психологический триллер, Психология, Психопат, Психотерапевт, Психотерапия, Психотропный препарат, Пыль, Пытки, Радио, Разговаривающий с мёртвым телом, Разговор с мертвыми, Разговор с умершим, Расист, Раскрытие тайны, Расследование, Расследование ФБР, Расстройство множественной личности, Расщепление личности, Рвота, Револьвер, Регрессия, Резня, Рисование, Ругательство на букву «F», Сад, Самозванец, Самообман, Санитар в психиатрической клинике, Саспенс, Свидетель, Секретный эксперимент, Серийный убийца, Серое небо, Сестра в психиатрической клинике, Склеп, Следователь, Служитель закона, Смерть, Смерть от оружейного выстрела, Смерть от утопления, Смерть ребенка, Смерть ребёнка, Смерть семьи, Снег, Сновидение, Солдат, Сон внутри сна, Сон, мечта, Спичка, Сторонник порядка, Страшный сон, Сюрреализм, Тайна, Тайный план, Татуировка, Темная и дождливая ночь, Теория заговора, Терапия, Торазин, Травма, Тревога, Тройное убийство младенцев, Труп, Тюремная камера, Тюремное заключение, Тюремный начальник, Тюремный охранник, Тюрьма, Убежище в пещере, Убежище для особо опасных сумасшедших, Убийство, Убийство ребенка, Убийство утоплением, Удар по лицу, Удушение, Узнающий правду, Упавшее дерево, Упоминание Адольфа Гитлера, Упоминание Бога, Упоминание Густава Малера, Упоминание Франца Кафки, Упоминание Эдгара Гувера, Ураган, Уродство, Успокоительное средство, Утонувший ребенок, Утопление, Федеральный маршал, Философский разговор, Флешбэк, Фонограф, Форт, Фотография, Холодная война, Холокост, Цепь, Чирканье спичкой, Чувство вины, Шарада, Шизофрения, Шприц, Шрам, Шрам на лице, Шторм, Эксперимент, Экспериментальное лечение, Эксперименты над людьми, Электрическая изгородь"
Зеленая миля,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/4057c4b8-8208-4a04-b169-26b0661453e3/300x450,"драма, фэнтези, криминал","Пол Эджкомб — начальник блока смертников в тюрьме «Холодная гора», каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время работы. Однако гигант Джон Коффи, обвинённый в страшном преступлении, стал одним из самых необычных обитателей блока.","1930-е, Беспокойство, Блокбастер, Высшая мера наказания (смертная казнь), Горькая радость, Дом престарелых, Духовное исцеление, Закадровый текст, Заключенный, Идеальная справедливость, Искупление вины, Казнь, Камера смертников, Кинопроектор, Луизиана, Мочевая инфекция, Мышь, Название, сказанное персонажем, Намочить штаны, Наркотический напиток, Неожиданная концовка, Нет титров в начале фильма, Огнестрельное оружие, Опухоль головного мозга, Оскорбление на расовой почве, Осуждённый по ошибке, Плевок в лицо, По мотивам романа, Пожилой, Против смертной казни, Психиатрическая больница, Расизм, Расовая несправедливость, Садизм, Сверхъестественное, Символ Мессии, Смертельная болезнь, Смертная казнь, Смирительная рубашка, Состояние ступора, Стивен Кинг, Стрельба, Сцена мочеиспускания, Трагедия, Трагический герой, Трагический финал, Трус, Тюремная драма, Тюремный охранник, Тюрьма, Убийство, Флешбэк, Христианство, Цвет в названии, Целитель, Человеческие отношения, Чудо, Экстрасенсорное восприятие, Электрический стул, Юг США"
Джентльмены,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/637271d5-61b4-4e46-ac83-6d07494c7645/300x450,"криминал, комедия, боевик","Один ушлый американец ещё со студенческих лет приторговывал наркотиками, а теперь придумал схему нелегального обогащения с использованием поместий обедневшей английской аристократии и очень неплохо на этом разбогател. Другой пронырливый журналист приходит к Рэю, правой руке американца, и предлагает тому купить киносценарий, в котором подробно описаны преступления его босса при участии других представителей лондонского криминального мира — партнёра-еврея, китайской диаспоры, чернокожих спортсменов и даже русского олигарха.","Автомобильная погоня, Актерский ансамбль, Американец в Великобритании, Антигерой, Боевое насилие, Британец, Выстрел в голову, Гангстер, Героин, Закадровый голос, Компьютер, Лондон, Англия, Марихуана, Монтаж, Мочеиспускание на мертвое тело, Наблюдение за кем-то, Наркобарон, Наркотики, Неонуар, Ноутбук, Огнестрельное оружие, Организованная преступность, Отморозок, Отношения мужа и жены, Отравление, Парень-подросток, Погоня, Попытка изнасилования, Похищение людей, Поцелуй, Предательство, Преследование, Пролог, Просмотр видео на компьютере, Распитие спиртных напитков, Рукопашный бой, Свинья, Стадион, Сцена стрельбы, Сценарий, Текст на экране, Телефонный звонок, Фотоаппарат, Фотографирование, Шантаж, Шумная ссора"
Властелин колец: Возвращение короля,https://avatars.mds.yandex.net/get-kinopoisk-image/4303601/e410c71f-baa1-4fe5-bb29-aedb4662f49b/300x450,"фэнтези, приключения, драма, боевик","Повелитель сил тьмы Саурон направляет свою бесчисленную армию под стены Минас-Тирита, крепости Последней Надежды. Он предвкушает близкую победу, но именно это мешает ему заметить две крохотные фигурки — хоббитов, приближающихся к Роковой Горе, где им предстоит уничтожить Кольцо Всевластья.","Аванпост, Актерский ансамбль, Армия, Битва, Босиком, Волшебник, Вулкан, Вулканическое извержение, Главный герой мужского пола, Гонка со временем, Гора, Дерево, Добро против зла, Жестокость, Засада, Камин, Квест, Кольцо / ринг, Королевский, Король, Лава, Мертвое дерево, Мужество, Орк, Поклон, Проклятие, Путешествие, Руины, Сигнал, Сиквел, Смерть, Средиземье, Судьба, Третья часть (триквел), Трон, Фехтовальщик, Хоббит, Чувство ненависти, Эпопея"
Форрест Гамп,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/3560b757-9b95-45ec-af8c-623972370f9d/300x450,"драма, комедия, мелодрама, история, военный","Сидя на автобусной остановке, Форрест Гамп — не очень умный, но добрый и открытый парень — рассказывает случайным встречным историю своей необыкновенной жизни.","Бой, Буллинг, Вашингтон, округ Колумбия, Ветеран Вьетнамской войны, Военный госпиталь, Война во Вьетнаме, Вьетнам, Герой войны, Голая женщина (вид сзади), Двойной ампутант, Джунгли, Доброта, Задира, Квартал красных фонарей, Кокаин, Лобковые волосы, Мать, Мать-одиночка, Медаль Почёта, Межрасовая дружба, Напалм, Нюханье кокаина, Обморок, Объятие, Оскорбление на расовой почве, Отношения матери и сына, Пинг-понг, По мотивам книги, По мотивам романа, Под действием наркотиков, Попытка самоубийства, Постельная сцена, Потеря друга, Потеря матери, Простой человек, Путешествие, Раненый солдат, Расизм, Сан-Франциско, Калифорния, Убийство президента, Удар мужчиной женщины, Употребление наркотиков, Хиппи, Человек с ампутированной конечностью, Шоколад"
Бойцовский клуб,https://avatars.mds.yandex.net/get-kinopoisk-image/4716873/85b585ea-410f-4d1c-aaa5-8d242756c2a4/300x450,"триллер, драма, криминал","Сотрудник страховой компании страдает хронической бессонницей и отчаянно пытается вырваться из мучительно скучной жизни. Однажды в очередной командировке он встречает некоего Тайлера Дёрдена — харизматического торговца мылом с извращенной философией. Тайлер уверен, что самосовершенствование — удел слабых, а единственное, ради чего стоит жить, — саморазрушение.","Альтер эго, Антигерой, Антисоциальное поведение, Бессонница, Бой, Воображаемый друг, Выстрел в голову, Группа поддержки, Групповая психотерапия, Жестокость, ИКЕА, Консьюмеризм, Красивый мужчина, Культовый фильм, Мазохизм, Нанесение себе огнестрельной раны, Ненадежный рассказчик, Неожиданный сюжетный поворот, Неожиданный финал, Нонконформизм, Отчуждение, По мотивам книги, По мотивам романа, Половое влечение, Попытка самоубийства, Постельная сцена, Потеря контроля, Приём «разрушение четвертой стены», Против капитализма, Против правящих кругов, Психическая неустойчивость, Рак яичек, Расстройство множественной личности, Расщепление личности, Реалистичное насилие, Садомазохизм, Саморазрушение, Секретное общество, Сексуальный сон, Шизофрения, Ярость"
Властелин колец: Братство кольца,https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/a2d5bcae-a1a9-442f-8195-f5373a5ba77f/300x450,"фэнтези, приключения, драма, боевик","Сказания о Средиземье — это хроника Великой войны за Кольцо, длившейся не одну тысячу лет. Тот, кто владел Кольцом, получал неограниченную власть, но был обязан служить злу.","Башня, Бездна, Верность, Вечеринка в честь дня рождения, Воин, Волшебник, Волшебное кольцо, Волшебство, Вулкан, Гигантская птица, Гоблин, Гробница, Добро против зла, Дружба, Загадка, Искушение, Исцеление, Кадры, Камин, Квест, Кольцо / ринг, Костер, Лес, Меч, Меч и магия, Меч и фэнтези, Монстр, Мотылёк, Орел, Орк, По мотивам романа, Погоня на лошадях, Подслушивание, Прием «искажение перспективы», Река, Руины, Салют, Скрытая дверь, Сломанный меч, Совет, Средиземье, Трилогия, Хоббит, Честь, Шахта, Эльф, Эпопея"
Унесённые призраками,https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/ae3b699c-3db7-4196-a869-39b610bfe706/300x450,"аниме, мультфильм, фэнтези, приключения, семейный","Тихиро с мамой и папой переезжает в новый дом. Заблудившись по дороге, они оказываются в странном пустынном городе, где их ждет великолепный пир. Родители с жадностью набрасываются на еду и к ужасу девочки превращаются в свиней, став пленниками злой колдуньи Юбабы. Теперь, оказавшись одна среди волшебных существ и загадочных видений, Тихиро должна придумать, как избавить своих родителей от чар коварной старухи.","10-летний ребенок, 2000-е годы, 2D-анимация, Баня (купальня), Бог реки, Ведьма, Волшебство, Главный герой - женщина, Девочка, Дракон, Дружба, Дух, Жадность, Задержка дыхания, Исэкай, Контракт, Культовый фильм, Личностный рост, Магический реализм, Машина, Мир духов, Обжорство, Опустевший город, Отношения мужа и жены, Отношения родителей и детей, Отношения сестёр, Падение с высоты, Параллельный мир, Плач, Полёт, Преодоление страха, Призрак, Просьба о работе, Работа, Ребенок в главной роли, Свинья, Слезы, Соперничество, Спасение, Сюрреализм, Трансформация, Туннель, Человек, становящийся животным, Юная любовь"
Терминатор 2: Судный день,https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/ade65029-952f-488d-87b2-20c676970151/300x450,"фантастика, боевик, триллер","Прошло более десяти лет с тех пор, как киборг из 2029 года пытался уничтожить Сару Коннор — женщину, чей будущий сын выиграет войну человечества против машин.","2020-е, 3D, АК-47 (автомат Калашникова), Автокража, Автомат, Автомобиль-универсал, Автомобильная погоня, Автостоянка, Автоцистерна, Актёры старше в ролях младше, Альтернативная история, Альтернативная реальность, Альтернативное время, Альтернативный финал, Аммуниция, Антигероиня, Антигерой, Апокалипсис, Аркадная игра, Атомная бомба, Афроамериканец, Бабушка, Базука, Байкер, Банда байкеров, Банкомат, Бар, Бар для байкеров, Бассейн, Беретта (пистолет), Беспощадность, Бильярд, Бильярдный кий, Битва, Ближайшее будущее, Блокбастер, Боевые искусства, Бой, Бой на смерть, Бомба, Бомба замедленного действия, Борцовка, Ботинок, Бочка, Брак, женитьба, Бронежилет, Брызги крови, Будущая война, Будущее, Буксир, Вертолёт, Взрыв, Взрыв вертолета, Взрывающаяся машина, Взрывающееся здание, Взрывающееся тело, Взрывающийся грузовик, Взрывоопасное вещество, Видеоигра «GTA», Видеонаблюдение, Винтовка, Внедорожник, Внедорожный мотоцикл, Военная разведка, Военные разработки, Вождение задом наперед, Война против машин, Воспитание в приемной семье, Воспитанник, Вторая часть, Вторжение в дом, Вульгарность, Выдающий себя за другое лицо, Выживание, Выстрел в колено, Выстрел в лицо, Выстрел в спину, Ган-фу, Гараж, Герой, Голосовая имитация, Гонка со временем, Горящий человек, Готика, Гранатомет, Грибовидное облако, Движение Сопротивления, Двоеточие в оригинальном названии, Двустороннее зеркало, Детское сквернословие, Дефенестрация, Джип, Добро против зла, Драка в баре, Дробовик, Женщина-воин, Жертвоприношение, Жестокость, Жидкий азот, Жидкий металл, Закадровый голос, Закадровый текст, Зал игровых автоматов, Заложник, Замедленная сцена, Засада, Зверство, Знаменитая песня, Знаменитая реплика, Идеализм, Известная мелодия в фильме, Изменение облика, Имя персонажа в оригинальном названии, Инженер по вычислительной технике, Искупление вины, Искусственный интеллект, Использование оружия двумя руками одновременно, Исчерпывание боеприпасов, Калифорния, Карабин, Кибер-триллер, Киборг, Классики, Кожаная куртка, Колющий удар в глаз, Колющий удар в рот, Колющий удар в спину, Команда спецназа, Командир повстанцев, Компьютер, Компьютерная микросхема, Компьютерные спецэффекты, Корпорация, Кофе, Кража со взломом, Кровотечение из носа, Кровь, Кувалда, Курение сигарет, Курение сигары, Лазерное оружие, Лазерный прицел, Лампа, Лестница, Лифт, Лихачество за рулем, Лос-Анджелес, Калифорния, Любовь, Магнитофон, Майка, Мальчик-герой, Массовое разрушение, Мать-одиночка, Мексика, Мексиканец, Мексиканка, Месть, Метла, Меч, Миниган, Младенец, Многочисленные камео, Молоток, Моральная неопределённость, Морфинг, Мотоцикл, Мошенничество с кредитной картой, Мужская нагота, Надежда, Название, сказанное персонажем, Нанесение себе увечий, Нанотехнология, Нападение с винтовкой, Наручники, Наручные часы, Насилие с применением огнестрельного оружия, Научно-исследовательская лаборатория, Неблагополучная семья, Независимый фильм, Неожиданный финал, Неуязвимость, Нож, Обезумевшая технология, Обещание, Обман, Образ отца, Обратная проекция, Ограждение из проволочной сетки, Один против всех, Оригинальное название из четырех слов, Оружие массового уничтожения, Открывание замка отмычкой, Отношения матери и сына, Отъезжающий назад затвор пистолета, Охранник, Очень крупный план, Парадокс, Парень, Персонаж признаётся в любви, Печь, Пикап, Пистолет, Пистолет Desert Eagle, Площадка для игр, Побег, Погоня на мотоцикле, Подростковая преступность, Подружка байкера, Подставной полицейский, Поиск и спасение, Покушение на убийство (по найму или по политическим причинам), Полицейская дубинка, Полицейская машина, Полицейская рация, Полицейский, Полицейский вертолет, Полицейский на мотоцикле, Полицейский фургон, Полугрузовик, Помповый дробовик, Попытка убийства, Постапокалипсис, Постер, Постмодерн, Потеря родителей, Предательство, Преследование, Привязанный к кровати, Прическа хвостик, Пролог, Противогаз, Прототип, Протыкание, Психиатр, Психиатрическая лечебница, Психотронный фильм, Публичное обнажение, Пулевое отверстие, Пулемет, Пуля, Пунктуация в оригинальном названии, Пустыня, Путешествие во времени, Пытки, Радиоуправляемые игрушки, Разоружение кого-либо, Ракетная пусковая установка, Ребенок за рулем, Револьвер, Революционер, Реклама товара в кино, Робот, Робот-убийца, Робототехника, Роза, Рука, отделённая от тела, Рука, пробивающая голову, Рукопожатие, Рюкзак, Самопожертвование, Саспенс, Северная Америка, Сексуальное преступление, Семейные отношения, Серьга, Сиквел, Сиквел с номером в оригинальном названии, Система обеспечения безопасности, Скелет, Скоростная автострада со сквозным движением, Скрепка для бумаг, Слезоточивый газ, Сломанная рука, Сломанный нос, Смерть главного героя, Снайпер, Снесённая голова, Сновидение, Собака, Солнцезащитные очки, Сострадание, Социальный комментарий, Спасение, Спрятанное оружие, Ссора в баре, Ставшее знаменитым появление на экране героя, Сталелитейный, Становящийся хорошим злодей, Страх, Страшный сон, Стреляная рана, Стрижка из 80-ых (mullet), Судьба, Сцена в ускоренном воспроизведении, Сцена во время начальных титров, Сцена перед вступительными титрами, Сцена стрельбы, Сёрвайвелист (участник движения за выживание), Татуировка, Тающее лицо, Телефонная будка, Телохранитель, Терминатор, Топор, Торазин, Торговый автомат, Торговый центр, Травма ноги, Трагическое прошлое, Третья мировая война, Тысячелетие, Тёмное прошлое, Убийство, Убийство животного, Убийство полицейского, Уважение, Удар по лицу, Уродство, Флешбэк, Фонарик, Фотография, Франшиза, Хакер, Харли Дэвидсон, Хранилище, Цельнометаллический, Цифра в оригинальном названии, Частичная компьютерная анимация, Часть из серии фильмов, Человечество против машин, Чернокожий мужчина, Число в имени персонажа, Число в оригинальном названии, Чувствительный робот, Шизофрения, Шприц, Экшен-сцена в начале фильма, Электронная музыка в саундтреке, Ядерная война, Ядерная катастрофа, Ядерное оружие, Ядерный взрыв"
